 1.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.31150000000000E-0002  4.00000000000000E-0001  1.96900000000000E+0003
 1.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.37250000000000E-0002  4.00000000000000E-0001  2.03200000000000E+0003
 1.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.40300000000000E-0002  4.00000000000000E-0001  2.09400000000000E+0003
 1.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.46400000000000E-0002  4.00000000000000E-0001  2.17200000000000E+0003
 1.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.49450000000000E-0002  4.00000000000000E-0001  2.23500000000000E+0003
 1.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.55550000000000E-0002  4.00000000000000E-0001  2.32900000000000E+0003
 1.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.61650000000000E-0002  4.00000000000000E-0001  2.39100000000000E+0003
 1.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.67750000000000E-0002  4.00000000000000E-0001  2.51600000000000E+0003
 1.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.73850000000000E-0002  4.00000000000000E-0001  2.57900000000000E+0003
 1.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.76900000000000E-0002  4.00000000000000E-0001  2.64100000000000E+0003
 1.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.83000000000000E-0002  4.00000000000000E-0001  2.75000000000000E+0003
 1.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.89100000000000E-0002  4.00000000000000E-0001  2.86000000000000E+0003
 1.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.95200000000000E-0002  4.00000000000000E-0001  2.92200000000000E+0003
 1.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.98250000000000E-0002  4.00000000000000E-0001  2.98500000000000E+0003
 2.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.04350000000000E-0002  4.00000000000000E-0001  3.04700000000000E+0003
 1.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.10450000000000E-0002  4.00000000000000E-0001  3.14100000000000E+0003
 1.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.13500000000000E-0002  4.00000000000000E-0001  3.20400000000000E+0003
 2.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.22650000000000E-0002  4.00000000000000E-0001  3.32900000000000E+0003
 1.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.28750000000000E-0002  4.00000000000000E-0001  3.39100000000000E+0003
 1.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.34850000000000E-0002  4.00000000000000E-0001  3.50000000000000E+0003
 1.90000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.40950000000000E-0002  4.00000000000000E-0001  3.61000000000000E+0003
 1.90000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.44000000000000E-0002  4.00000000000000E-0001  3.67200000000000E+0003
 2.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.50100000000000E-0002  4.00000000000000E-0001  3.75000000000000E+0003
 2.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.59250000000000E-0002  4.00000000000000E-0001  3.86000000000000E+0003
 1.80000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.65350000000000E-0002  4.00000000000000E-0001  3.95400000000000E+0003
 1.90000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.68400000000000E-0002  4.00000000000000E-0001  4.01600000000000E+0003
 2.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.71450000000000E-0002  4.00000000000000E-0001  4.07900000000000E+0003
 2.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.77550000000000E-0002  3.99999900000000E-0001  4.15700000000000E+0003
 2.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.83650000000000E-0002  3.99999900000000E-0001  4.25000000000000E+0003
 2.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.89750000000000E-0002  3.99999900000000E-0001  4.34400000000000E+0003
